,category,sha256,label,F1_totalAPICalls,F2_percentageOfFileAPICalls,F3_1_fileAPIPercentageNtReadFile,F3_2_fileAPIPercentageNtWriteFile,F3_3_fileAPIPercentageSetFilePointer,F3_4_fileAPIPercentageSetFilePointerEx,F3_5_fileAPIPercentageNtCreateFile,F3_6_fileAPIPercentageNtDeviceIoControlFile,F3_7_fileAPIPercentageGetFileAttributesExW,F3_8_fileAPIPercentageNtQueryDirectoryFile,F3_9_fileAPIPercentageFindFirstFileExW,F3_10_fileAPIPercentageNtQueryInformationFile,F3_11_fileAPIPercentageGetFileSizeEx,F3_12_fileAPIPercentageGetFileType,F3_13_fileAPIPercentageNtOpenFile,F3_14_fileAPIPercentageSetEndOfFile,F3_15_fileAPIPercentageMoveFileWithProgressW,F3_16_fileAPIPercentageSetFileAttributesW,F3_17_fileAPIPercentageDeleteFileW,F4_percentageOfUniqueFilesTouched,F5_percentageOfUniqueFileExtensionsTouched,F6_percentageOfUniqueFileLocationsTouched,F7_1_percentgeOfFileExtensionPy,F7_2_percentgeOfFileExtensionPng,F7_3_percentgeOfFileExtensionTxt,F7_4_percentgeOfFileExtensionTlc,F7_5_percentgeOfFileExtensionMsg,F7_6_percentgeOfFileExtensionExe,F7_7_percentageOfFileExtensionDll,F8_1_percentageOfFilesInDocuments,F8_2_percentageOfFilesInPictures,F8_3_percentageOfFilesInMusic,F8_4_percentageOfFilesInVideos,F8_5_percentageOfFilesInDesktop,F8_6_percentageOfFilesInDownloads,F9_APICallsPerSecond,F10_percentageOfPotentialCustomExtensionsUsed,F11_1_percentageOfFileExtensionsDocuments,F11_2_percentageOfFileExtensionsImages,F11_3_percentageOfFileExtensionsVideos,F11_4_percentageOfFileExtensionsAudio,F11_5_percentageOfFileExtensionsDatabase,F11_6_percentageOfFileExtensionsArchives,F11_7_percentageOfFileExtensionsExecutables,F11_8_percentageOfFileExtensionsSystem,F11_9_percentageOfFileExtensionsBackup,F11_10_percentageOfFileExtensionsEmail,F11_11_percentageOfFileExtensionsVMImages,F11_12_percentageOfFileExtensionsGames,F11_13_percentageOfFileExtensionsDevelopment
34,1,ReportSHA256B_games_Emulators_Stella Portable.exe.json,FALSE,14532,42,37,35,4,0,5,0,0,2,1,0,0,0,0,0,0,0,0,5,1,5,0,13,2,0,0,26,22,0,0,0,0,0,0,170,1,3,18,0,0,0,0,48,2,28,0,0,0,0
35,1,ReportSHA256B_games_Puzzle Games_Golly Portable.exe.json,FALSE,13637,39,42,33,3,0,5,0,0,2,1,0,0,0,0,0,0,0,0,4,1,4,0,4,0,0,0,39,10,0,0,0,0,0,0,97,1,10,8,0,0,0,0,49,1,30,0,0,0,0
36,1,ReportSHA256B_games_Puzzle Games_Mines-Perfect Portable.exe.json,FALSE,9082,24,31,9,4,0,8,0,0,5,3,8,1,0,7,0,0,0,0,10,3,10,0,4,4,0,0,7,11,0,0,0,0,0,0,77,4,6,26,0,0,1,0,17,36,10,0,0,0,0
37,1,ReportSHA256B_games_Puzzle Games_Pathological Portable.exe.json,FALSE,7248,15,52,4,1,0,9,0,0,10,1,7,1,0,5,0,0,0,0,9,5,9,0,0,0,0,0,1,25,0,0,0,0,0,0,38,1,0,11,0,0,2,0,26,50,11,0,0,0,0
38,1,ReportSHA256B_games_Puzzle Games_Pingus Portable.exe.json,FALSE,23755,59,27,15,13,0,8,0,0,1,0,1,0,0,1,0,0,0,0,16,0,16,0,66,0,0,0,3,3,0,0,0,0,0,0,201,9,0,68,0,0,0,0,7,2,13,0,0,0,0
39,1,ReportSHA256B_games_Puzzle Games_Pushover Portable.exe.json,FALSE,18962,50,50,34,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,2,1,2,0,5,1,0,0,3,1,0,0,0,0,0,0,92,2,1,6,0,38,0,0,5,4,44,0,0,0,0
40,1,ReportSHA256B_games_Puzzle Games_Puzzle Collection Portable.exe.json,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,ReportSHA256B_games_Puzzle Games_Tile World Portable.exe.json,FALSE,10146,36,31,25,6,0,6,0,0,3,4,0,0,0,1,0,0,0,0,9,2,9,0,3,4,0,0,6,10,0,0,0,0,0,0,139,4,8,37,0,8,0,0,15,2,21,0,0,2,1
42,1,ReportSHA256B_games_Puzzle Games_Twin Distress Portable.exe.json,FALSE,7054,14,47,5,1,0,10,0,0,11,1,7,1,0,6,0,0,0,0,9,5,9,0,0,0,0,0,1,25,0,0,0,0,0,0,58,1,0,11,0,0,2,0,26,50,11,0,0,0,0
43,1,ReportSHA256B_games_Puzzle Games_USB Sudoku Portable.exe.json,FALSE,8625,22,31,6,3,0,8,0,0,6,4,9,1,0,8,0,0,0,1,9,3,9,0,6,5,0,0,5,14,0,0,0,0,0,0,1076,1,5,14,0,0,1,0,19,51,7,0,0,0,0
44,1,ReportSHA256B_games_Puzzle Games_Wizznic Portable.exe.json,FALSE,23893,64,36,26,9,0,5,0,0,1,1,0,0,0,0,0,0,0,0,4,0,4,0,26,1,0,0,1,9,0,0,0,0,0,0,1286,11,2,29,0,18,0,0,10,2,29,0,0,0,0
45,1,ReportSHA256B_games_Puzzle Games_Xye Portable.exe.json,FALSE,10468,41,34,28,5,0,5,0,0,3,4,0,0,0,0,0,0,0,0,6,1,6,0,11,1,0,0,13,13,0,0,0,0,0,0,1184,16,3,21,0,0,0,0,26,7,27,0,0,0,0
46,1,ReportSHA256B_games_Racing Games_SuperTuxKart Portable.exe.json,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,ReportSHA256B_games_Strategy Games_Battle for Wesnoth Portable.exe.json,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
